# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig3ab.fig
# Left panel: H - CO2 collision cross sections.
# Columns: energy_eV sigma_el_cm2 sigma_01_cm2 sigma_La_cm2 sigma_ia_cm2 sigma_Ha_cm2
# sigma_el: elastic collision, H + CO2, Q = 0 eV
# sigma_01: electron stripping, H + CO2, Q = -14.9 eV
# sigma_La: Lyman-alpha emission, H + CO2, Q = -10.2 eV
# sigma_ia: CO2 ionization by H, Q = -16.6 eV
# sigma_Ha: Balmer-alpha emission, H + CO2, Q = -1.9 eV
energy_eV	sigma_el_cm2	sigma_01_cm2	sigma_La_cm2	sigma_ia_cm2	sigma_Ha_cm2
1	7.80365902546e-14	5.27516862762e-21	9.18654404558e-18	4.16587278197e-20	6.18805445947e-20
2	4.91861025444e-14	1.51056150155e-20	1.16911392254e-17	9.30360146987e-20	1.25653715827e-19
3	3.75476915453e-14	2.79509664111e-20	1.34611975061e-17	1.48847621394e-19	1.90160203789e-19
4	3.10017733427e-14	4.32522881556e-20	1.48767295109e-17	2.07742281763e-19	2.55146364506e-19
5	2.67210893422e-14	6.06840064509e-20	1.60758784973e-17	2.69035586385e-19	3.20490281791e-19
6	2.36661366242e-14	8.00251483448e-20	1.71265461031e-17	3.32306053582e-19	3.86119405027e-19
7	2.13573566537e-14	1.01112684581e-19	1.80677799629e-17	3.9726535147e-19	4.51985313641e-19
8	1.95402746035e-14	1.23819740645e-19	1.89243580449e-17	4.63702603997e-19	5.18053240346e-19
9	1.80662575823e-14	1.48043825923e-19	1.97131110301e-17	5.31456238049e-19	5.84296911322e-19
10	1.68421792418e-14	1.73699828859e-19	2.04460583266e-17	6.00398128249e-19	6.50695702526e-19
20	1.06155478162e-14	4.96779613834e-19	2.59764588047e-17	1.33847216695e-18	1.32055554521e-18
30	8.10369788144e-15	9.1774146187e-19	2.98495398571e-17	2.13727005069e-18	1.99661440893e-18
40	6.69093077679e-15	1.41741750244e-18	3.29151186428e-17	2.97684773408e-18	2.67542670025e-18
50	5.76705587428e-15	1.98432829717e-18	3.5483060684e-17	3.8469908174e-18	3.35493669269e-18
60	5.10772336009e-15	2.61044419128e-18	3.77062147168e-17	4.74134271291e-18	4.03361833378e-18
70	4.60943293035e-15	3.28965068563e-18	3.96728355861e-17	5.65551177068e-18	4.71021441434e-18
80	4.21726277675e-15	4.01703255097e-18	4.14391813157e-17	6.58625624146e-18	5.3836301683e-18
90	3.89913433475e-15	4.788487623e-18	4.30436573431e-17	7.53107087579e-18	6.05288225521e-18
100	3.6349486912e-15	5.60049734649e-18	4.45138393481e-17	8.48795328777e-18	6.71707168114e-18
200	2.29109137759e-15	1.54005032362e-17	5.47883132701e-17	1.84552065423e-17	1.29243230217e-17
300	1.74897354939e-15	2.70868423987e-17	6.08821526474e-17	2.86995572644e-17	1.80200097884e-17
400	1.44406431738e-15	3.95753121336e-17	6.49324999009e-17	3.89014155184e-17	2.18342813648e-17
500	1.24466981982e-15	5.2195004956e-17	6.77701316446e-17	4.89076278745e-17	2.44584199604e-17
600	1.10236995321e-15	6.45229815586e-17	6.98201950325e-17	5.86351917843e-17	2.61065048637e-17
700	9.94826854461e-16	7.63023883824e-17	7.13309103244e-17	6.8038075079e-17	2.70154956777e-17
800	9.10187072037e-16	8.7389572665e-17	7.2458841316e-17	7.70920103737e-17	2.73944803899e-17
900	8.41527277644e-16	9.77171331038e-17	7.33079113457e-17	8.57863533617e-17	2.74084773723e-17
1000	7.84509640825e-16	1.07267782466e-16	7.39496760084e-17	9.4119280739e-17	2.71797466509e-17
