# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig3ef.fig
# Left panel: H - O collision cross sections.
# Columns: energy_eV sigma_el_cm2 sigma_01_cm2 sigma_La_cm2 sigma_ia_cm2 sigma_Ha_cm2
# sigma_el: elastic collision, H + O, Q = 0 eV
# sigma_01: electron stripping, H + O, Q = -14.9 eV
# sigma_La: Lyman-alpha emission, H + O, Q = -10.2 eV
# sigma_ia: O ionization by H, Q = -18.5 eV
# sigma_Ha: Balmer-alpha emission, H + O, Q = -1.9 eV
energy_eV	sigma_el_cm2	sigma_01_cm2	sigma_La_cm2	sigma_ia_cm2	sigma_Ha_cm2
1	7.80365902546e-14	2.51223113404e-19	9.18654404558e-18	4.53435702341e-21	6.18805445947e-20
2	4.91861025444e-14	4.04935743178e-19	1.16911392254e-17	9.84368521132e-21	1.25653715827e-19
3	3.75476915453e-14	5.35357430274e-19	1.34611975061e-17	1.54909664648e-20	1.90160203789e-19
4	3.10017733427e-14	6.52626978747e-19	1.48767295109e-17	2.13695047551e-20	2.55146364506e-19
5	2.67210893422e-14	7.60990820004e-19	1.60758784973e-17	2.74261782792e-20	3.20490281791e-19
6	2.36661366242e-14	8.6274479063e-19	1.71265461031e-17	3.36286671013e-20	3.86119405027e-19
7	2.13573566537e-14	9.59309114778e-19	1.80677799629e-17	3.99550727999e-20	4.51985313641e-19
8	1.95402746035e-14	1.05164026447e-18	1.89243580449e-17	4.6389508135e-20	5.18053240346e-19
9	1.80662575823e-14	1.14042148412e-18	1.97131110301e-17	5.29198852015e-20	5.84296911322e-19
10	1.68421792418e-14	1.22616249429e-18	2.04460583266e-17	5.95366779391e-20	6.50695702526e-19
20	1.06155478162e-14	1.97502444578e-18	2.59764588047e-17	1.29232588819e-19	1.32055554521e-18
30	8.10369788144e-15	2.60959976538e-18	2.98495398571e-17	2.03345606671e-19	1.99661440893e-18
40	6.69093077679e-15	3.17954250843e-18	3.29151186428e-17	2.80472507258e-19	2.67542670025e-18
50	5.76705587428e-15	3.70566413779e-18	3.5483060684e-17	3.59914087358e-19	3.35493669269e-18
60	5.10772336009e-15	4.19922332277e-18	3.77062147168e-17	4.4124459662e-19	4.03361833378e-18
70	4.60943293035e-15	4.66718867887e-18	3.96728355861e-17	5.24175328589e-19	4.71021441434e-18
80	4.21726277675e-15	5.11425578143e-18	4.14391813157e-17	6.08496651674e-19	5.3836301683e-18
90	3.89913433475e-15	5.54378051486e-18	4.30436573431e-17	6.94048930548e-19	6.05288225521e-18
100	3.6349486912e-15	5.9582676463e-18	4.45138393481e-17	7.80706253656e-19	6.71707168114e-18
200	2.29109137759e-15	9.56465892548e-18	5.47883132701e-17	1.69182894938e-18	1.29243230217e-17
300	1.74897354939e-15	1.26013613125e-17	6.08821526474e-17	2.65737740883e-18	1.80200097884e-17
400	1.44406431738e-15	1.53136532111e-17	6.49324999009e-17	3.65855743076e-18	2.18342813648e-17
500	1.24466981982e-15	1.7804678864e-17	6.77701316446e-17	4.68590898431e-18	2.44584199604e-17
600	1.10236995321e-15	2.01303943618e-17	6.98201950325e-17	5.73361466949e-18	2.61065048637e-17
700	9.94826854461e-16	2.23255212204e-17	7.13309103244e-17	6.79769128956e-18	2.70154956777e-17
800	9.10187072037e-16	2.44135095665e-17	7.2458841316e-17	7.87521914186e-18	2.73944803899e-17
900	8.41527277644e-16	2.6411155212e-17	7.33079113457e-17	8.96395431054e-18	2.74084773723e-17
1000	7.84509640825e-16	2.83310197849e-17	7.39496760084e-17	1.00621110808e-17	2.71797466509e-17
1100	7.36266254763e-16	3.01828158122e-17	7.44347990557e-17	1.11682298685e-17	2.67954707432e-17
1200	6.94818691896e-16	3.1974253694e-17	7.47999585707e-17	1.22810921632e-17	2.63163147175e-17
1300	6.58754214476e-16	3.37115871843e-17	7.50721980001e-17	1.33996631425e-17	2.57837731771e-17
1400	6.27034773275e-16	3.53999796863e-17	7.5271767056e-17	1.45230514752e-17	2.52258311559e-17
1500	5.98879042742e-16	3.70437588366e-17	7.54140307371e-17	1.56504802795e-17	2.46610942136e-17
1600	5.73686709193e-16	3.86465986302e-17	7.55107830503e-17	1.6781265589e-17	2.41017138188e-17
1700	5.50988263657e-16	4.02116529529e-17	7.557116947e-17	1.7914800026e-17	2.35554261385e-17
1800	5.30410757788e-16	4.17416555827e-17	7.56023460129e-17	1.90505401854e-17	2.30269608433e-17
1900	5.11653868547e-16	4.32389964751e-17	7.56099573435e-17	2.0187996722e-17	2.25190106059e-17
2000	4.9447280455e-16	4.47057809097e-17	7.55984883024e-17	2.13267264453e-17	2.20328971992e-17
2100	4.78665863673e-16	4.61438760121e-17	7.55715255001e-17	2.24663259346e-17	2.1569028943e-17
2200	4.64065221054e-16	4.755494782e-17	7.55319541127e-17	2.36064263201e-17	2.11272148099e-17
2300	4.50530003947e-16	4.89404911566e-17	7.54821073986e-17	2.47466889729e-17	2.07068799756e-17
2400	4.37941013541e-16	5.03018539592e-17	7.54238813234e-17	2.58868019115e-17	2.030721348e-17
2500	4.2619665145e-16	5.16402572817e-17	7.53588231663e-17	2.70264767806e-17	1.99272690257e-17
2600	4.15209739932e-16	5.29568118803e-17	7.52882005384e-17	2.81654462893e-17	1.95660333573e-17
2700	4.04905013723e-16	5.4252532077e-17	7.52130555235e-17	2.93034620255e-17	1.92224721784e-17
2800	3.95217122591e-16	5.5528347431e-17	7.51342474277e-17	3.04402925764e-17	1.88955604935e-17
2900	3.86089026498e-16	5.67851126305e-17	7.50524867412e-17	3.15757219041e-17	1.85843021543e-17
3000	3.7747069563e-16	5.80236159287e-17	7.49683622707e-17	3.27095479333e-17	1.82877419374e-17
4000	3.11663925739e-16	6.95421339119e-17	7.40731535102e-17	4.39230644278e-17	1.59560250605e-17
5000	2.68629781669e-16	7.97980039169e-17	7.31822640731e-17	5.48238517622e-17	1.43890285678e-17
6000	2.37918036683e-16	8.90864293883e-17	7.23344171354e-17	6.53300608288e-17	1.32590621877e-17
7000	2.14707640899e-16	9.75931886151e-17	7.15287133813e-17	7.53935924767e-17	1.23988557337e-17
8000	1.96440333448e-16	1.05445613554e-16	7.07583196574e-17	8.49873707853e-17	1.17163320199e-17
9000	1.81621893021e-16	1.12736326276e-16	7.00169720766e-17	9.40984020967e-17	1.11571116386e-17
10000	1.69316111129e-16	1.19535731665e-16	6.92999204425e-17	1.02723526035e-16	1.06871373407e-17
20000	1.06719163116e-16	1.6903234068e-16	6.30211821622e-17	1.64728503856e-16	8.11293002228e-18
30000	8.14672846875e-17	1.98084033141e-16	5.78938165682e-17	1.94584798604e-16	6.87310131133e-18
40000	6.72645957923e-17	2.15634423046e-16	5.36241092548e-17	2.06628518223e-16	6.06735165885e-18
50000	5.7976789065e-17	2.25989996817e-16	5.00186777215e-17	2.09339127367e-16	5.47859896158e-18
60000	5.13484534061e-17	2.31634547744e-16	4.6933298311e-17	2.0724214333e-16	5.02055924101e-18
70000	4.63390899166e-17	2.34118124475e-16	4.42607621038e-17	2.02725665951e-16	4.64980732417e-18
80000	4.23965641688e-17	2.34451731928e-16	4.19208673138e-17	1.97063533401e-16	4.34128910577e-18
90000	3.91983871476e-17	2.33314079345e-16	3.98528392073e-17	1.90943759666e-16	4.07920910412e-18
100000	3.65425024703e-17	2.31170315889e-16	3.80099334241e-17	1.8473993788e-16	3.85296934335e-18
200000	2.30325705911e-17	1.94894044807e-16	2.65876958519e-17	1.35805737141e-16	2.56652041081e-18
300000	1.75826058849e-17	1.63268126605e-16	2.08795245578e-17	1.07605510324e-16	1.97782895561e-18
400000	1.45173229028e-17	1.40169429947e-16	1.73761329924e-17	8.97798783065e-17	1.6293312044e-18
500000	1.25127900913e-17	1.22986832364e-16	1.49772739463e-17	7.74540919422e-17	1.39543297974e-18
600000	1.10822353108e-17	1.09775232638e-16	1.32181544829e-17	6.83794248395e-17	1.22609367053e-18
700000	1.00010937911e-17	9.93080049521e-17	1.1865855461e-17	6.13910118887e-17	1.09707359681e-18
800000	9.15020159949e-18	9.08052404758e-17	1.07897826886e-17	5.58255301467e-17	9.95083088223e-19
900000	8.45995782459e-18	8.37543476276e-17	9.91061484076e-18	5.12767876455e-17	9.12178136897e-19
1000000	7.88675382328e-18	7.78064456632e-17	9.1771882407e-18	4.74815735157e-17	8.43295877703e-19
2000000	4.97098452186e-18	4.67064802046e-17	5.43750778026e-18	2.81341205185e-17	4.95717984298e-19
3000000	3.79475062768e-18	3.41106409299e-17	3.95621188604e-18	2.04747470554e-17	3.59584692535e-19
4000000	3.13318859322e-18	2.71504379246e-17	3.14334357993e-18	1.62721483132e-17	2.85223298876e-19
5000000	2.70056204204e-18	2.26883231602e-17	2.62396466147e-18	1.35867649032e-17	2.37834078371e-19
6000000	2.39181380035e-18	1.95641045074e-17	2.2610298044e-18	1.17100307921e-17	2.04776016934e-19
7000000	2.15847737189e-18	1.7244578543e-17	1.99192598526e-18	1.03182999546e-17	1.80294902428e-19
8000000	1.97483430445e-18	1.54488197154e-17	1.7837821383e-18	9.24168087865e-18	1.61377342023e-19
9000000	1.82586304187e-18	1.40141232146e-17	1.61760557749e-18	8.38201433704e-18	1.46285376044e-19
