# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig3cd.fig
# Left panel: H - N2 collision cross sections.
# Columns: energy_eV sigma_el_cm2 sigma_01_cm2 sigma_La_cm2 sigma_ia_cm2 sigma_Ha_cm2
# sigma_el: elastic collision, H + N2, Q = 0 eV
# sigma_01: electron stripping, H + N2, Q = -14.9 eV
# sigma_La: Lyman-alpha emission, H + N2, Q = -10.2 eV
# sigma_ia: N2 ionization by H, Q = -19.6 eV
# sigma_Ha: Balmer-alpha emission, H + N2, Q = -1.9 eV
energy_eV	sigma_el_cm2	sigma_01_cm2	sigma_La_cm2	sigma_ia_cm2	sigma_Ha_cm2
1	7.80365902546e-14	7.75405094957e-22	1.21604660686e-18	3.97274087498e-21	8.34255283863e-20
2	4.91861025444e-14	2.97843427139e-21	2.0291386565e-18	1.01285163979e-20	1.73994957364e-19
3	3.75476915453e-14	6.54441875466e-21	2.73765498298e-18	1.75107661058e-20	2.67470955129e-19
4	3.10017733427e-14	1.14402909929e-20	3.38576520437e-18	2.58223914942e-20	3.62884517812e-19
5	2.67210893422e-14	1.76433847156e-20	3.9923414838e-18	3.49013509584e-20	4.59763669277e-19
6	2.36661366242e-14	2.51364201537e-20	4.56772450341e-18	4.46426339862e-20	5.57825356939e-19
7	2.13573566537e-14	3.39054184539e-20	5.11837646479e-18	5.49715249296e-20	6.56879785217e-19
8	1.95402746035e-14	4.39386271135e-20	5.64868525587e-18	6.5831600181e-20	7.56790329591e-19
9	1.80662575823e-14	5.52258925732e-20	6.1618068423e-18	7.71784424253e-20	8.57453650746e-19
10	1.68421792418e-14	6.77582619172e-20	6.66010949034e-18	8.89759953404e-20	9.58788668986e-19
20	1.06155478162e-14	2.60080542764e-19	1.11037225841e-17	2.26808738969e-19	1.99870738221e-18
30	8.10369788144e-15	5.70799216627e-19	1.49620908748e-17	3.92045732744e-19	3.06992669594e-18
40	6.69093077679e-15	9.96215449517e-19	1.84747471992e-17	5.78009926376e-19	4.16012866273e-18
50	5.76705587428e-15	1.53326595271e-18	2.17431519537e-17	7.81051639799e-19	5.26268367298e-18
60	5.10772336009e-15	2.17910084526e-18	2.48223730541e-17	9.98800133028e-19	6.37312604189e-18
70	4.60943293035e-15	2.93091648784e-18	2.77464897648e-17	1.22956435599e-18	7.48806630595e-18
80	4.21726277675e-15	3.78587648581e-18	3.05384243305e-17	1.47206386119e-18	8.60473976041e-18
90	3.89913433475e-15	4.74107192778e-18	3.3214522146e-17	1.725287851e-18	9.72078556271e-18
100	3.6349486912e-15	5.79350193759e-18	3.5786960518e-17	1.98841341395e-18	1.0834126536e-17
200	2.29109137759e-15	2.09393265432e-17	5.72212031491e-17	5.05073340123e-18	2.14767714703e-17
300	1.74897354939e-15	4.19839149931e-17	7.2976626818e-17	8.69334300384e-18	3.05241487088e-17
400	1.44406431738e-15	6.55007552978e-17	8.46108604859e-17	1.27559084071e-17	3.75300154253e-17
500	1.24466981982e-15	8.88730300012e-17	9.30983592986e-17	1.71472570888e-17	4.25441295353e-17
600	1.10236995321e-15	1.10520844326e-16	9.91803982073e-17	2.18058506741e-17	4.5868583121e-17
700	9.94826854461e-16	1.29721101454e-16	1.03436724865e-16	2.66861693619e-17	4.78773490276e-17
800	9.10187072037e-16	1.4630910528e-16	1.06317193241e-16	3.17525646019e-17	4.89176953169e-17
900	8.41527277644e-16	1.60423260264e-16	1.08166658661e-16	3.69760193336e-17	4.92728715386e-17
1000	7.84509640825e-16	1.72335110822e-16	1.09246974852e-16	4.23322555763e-17	4.91581101058e-17
1100	7.36266254763e-16	1.82352377686e-16	1.09755753969e-16	4.78005437669e-17	4.87302728563e-17
1200	6.94818691896e-16	1.90770494794e-16	1.09841631192e-16	5.33629099357e-17	4.81007733114e-17
1300	6.58754214476e-16	1.97852253008e-16	1.0961625559e-16	5.90035835197e-17	4.73474222135e-17
1400	6.27034773275e-16	2.03822186811e-16	1.09163491501e-16	6.47085983846e-17	4.65238986169e-17
1500	5.98879042742e-16	2.0886794568e-16	1.08546376776e-16	7.04654955505e-17	4.56668377825e-17
1600	5.73686709193e-16	2.13144493911e-16	1.07812340185e-16	7.62630958211e-17	4.48009513859e-17
1700	5.50988263657e-16	2.1677906419e-16	1.06997096795e-16	8.20913218939e-17	4.39426554795e-17
1800	5.30410757788e-16	2.19875915553e-16	1.06127552256e-16	8.7941056399e-17	4.31026148507e-17
1900	5.11653868547e-16	2.22520523399e-16	1.05223969419e-16	9.38040266104e-17	4.22875186248e-17
2000	4.9447280455e-16	2.24783108753e-16	1.04301587692e-16	9.96727093511e-17	4.15013171252e-17
2100	4.78665863673e-16	2.26721538778e-16	1.03371836716e-16	1.05540251459e-16	4.07460833673e-17
2200	4.64065221054e-16	2.28383677947e-16	1.0244324898e-16	1.11400402432e-16	4.00226135135e-17
2300	4.50530003947e-16	2.29809279921e-16	1.01522148523e-16	1.17247456752e-16	3.93308457154e-17
2400	4.37941013541e-16	2.31031504754e-16	1.00613172587e-16	1.23076203987e-16	3.86701523719e-17
2500	4.2619665145e-16	2.32078134681e-16	9.97196682031e-17	1.2888188525e-16	3.80395439366e-17
2600	4.15209739932e-16	2.32972549316e-16	9.88439947767e-17	1.34660154868e-16	3.74378107508e-17
2700	4.04905013723e-16	2.33734509501e-16	9.79877557438e-17	1.40407046422e-16	3.68636213372e-17
2800	3.95217122591e-16	2.34380789184e-16	9.71519764782e-17	1.46118942437e-16	3.63155900421e-17
2900	3.86089026498e-16	2.34925686489e-16	9.6337241312e-17	1.51792547179e-16	3.57923230606e-17
3000	3.7747069563e-16	2.35381438645e-16	9.55437993281e-17	1.57424862123e-16	3.52924492115e-17
4000	3.11663925739e-16	2.36782010393e-16	8.87160091485e-17	2.10990620939e-16	3.1318351431e-17
5000	2.68629781669e-16	2.35335394645e-16	8.35130603918e-17	2.58673990696e-16	2.86020426038e-17
6000	2.37918036683e-16	2.32820051541e-16	7.94217552685e-17	3.00116894396e-16	2.66167510773e-17
7000	2.14707640899e-16	2.29872992315e-16	7.60933665301e-17	3.35594955037e-16	2.50874234099e-17
8000	1.96440333448e-16	2.26761748946e-16	7.33056926198e-17	3.65658113899e-16	2.38608048877e-17
9000	1.81621893021e-16	2.23611059859e-16	7.09147785869e-17	3.90944527452e-16	2.28456660502e-17
10000	1.69316111129e-16	2.20483057323e-16	6.88243707765e-17	4.12087223411e-16	2.19845348134e-17
20000	1.06719163116e-16	1.93287735348e-16	5.58219433062e-17	4.93636950562e-16	1.71029156362e-17
30000	8.14672846875e-17	1.72951357206e-16	4.8516518046e-17	4.86924865468e-16	1.4634701545e-17
40000	6.72645957923e-17	1.57221556669e-16	4.34221679934e-17	4.62131068477e-16	1.29904549292e-17
50000	5.7976789065e-17	1.44621295503e-16	3.95495524407e-17	4.34933577324e-16	1.17714411951e-17
60000	5.13484534061e-17	1.34249807068e-16	3.64603485804e-17	4.09280754748e-16	1.08140773622e-17
70000	4.63390899166e-17	1.25529505168e-16	3.39165762052e-17	3.8606893181e-16	1.00340330841e-17
80000	4.23965641688e-17	1.18071799274e-16	3.17732770568e-17	3.65313461928e-16	9.38176696197e-18
90000	3.91983871476e-17	1.11604611204e-16	2.99353396525e-17	3.46781273797e-16	8.82561300331e-18
100000	3.65425024703e-17	1.05931078647e-16	2.83369926728e-17	3.30191146427e-16	8.34409724664e-18
200000	2.30325705911e-17	7.23026647566e-17	1.90756094354e-17	2.27824520155e-16	5.58484567198e-18
300000	1.75826058849e-17	5.62658814485e-17	1.475883443e-17	1.77682119664e-16	4.31218208554e-18
400000	1.45173229028e-17	4.66114520161e-17	1.2184990979e-17	1.4731043274e-16	3.5563170966e-18
500000	1.25127900913e-17	4.00693628563e-17	1.04506892205e-17	1.26681478882e-16	3.0480569922e-18
600000	1.10822353108e-17	3.53027557208e-17	9.19186522646e-18	1.1163393649e-16	2.67962288441e-18
700000	1.00010937911e-17	3.16543083301e-17	8.23102394915e-18	1.0010892094e-16	2.39865705692e-18
800000	9.15020159949e-18	2.87600169731e-17	7.4704393085e-18	9.0962610998e-17	2.1763984192e-18
900000	8.45995782459e-18	2.6400710303e-17	6.85151822298e-18	8.35049983576e-17	1.9956305823e-18
1000000	7.88675382328e-18	2.44359265946e-17	6.33683305911e-18	7.72933432116e-17	1.84536932544e-18
2000000	4.97098452186e-18	1.4457439156e-17	3.73354096774e-18	4.57357717201e-17	1.08618131634e-18
3000000	3.79475062768e-18	1.0518320348e-17	2.71102942326e-18	3.32751500591e-17	7.88367397784e-19
4000000	3.13318859322e-18	8.35844097185e-18	2.15174865238e-18	2.64424639742e-17	6.25565887064e-19
5000000	2.70056204204e-18	6.97869001306e-18	1.7950324852e-18	2.20776017583e-17	5.21765425652e-19
6000000	2.39181380035e-18	6.01455384673e-18	1.54604592181e-18	1.90275168056e-17	4.49330838101e-19
7000000	2.15847737189e-18	5.29963437545e-18	1.36157671614e-18	1.67658286034e-17	3.95675416154e-19
8000000	1.97483430445e-18	4.74661194568e-18	1.21897898043e-18	1.5016305868e-17	3.54204976576e-19
9000000	1.82586304187e-18	4.30504505577e-18	1.10518457009e-18	1.36193774633e-17	3.21115140913e-19
