# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig3ab.fig
# Right panel: H+ - CO2 collision cross sections.
# Columns: energy_eV sigma_10_cm2 sigma_ip_cm2 sigma_La_cm2 sigma_el_cm2 sigma_Ha_cm2
# sigma_10: charge exchange between H+ and CO2, Q = -0.4 eV
# sigma_ip: CO2 ionization by H+, Q = -16.6 eV
# sigma_La: Lyman-alpha emission, H+ + CO2, Q = -10.2 eV
# sigma_el: elastic collision, H+ + CO2, Q = 0 eV
# sigma_Ha: Balmer-alpha emission, H+ + CO2, Q = -1.9 eV
energy_eV	sigma_10_cm2	sigma_ip_cm2	sigma_La_cm2	sigma_el_cm2	sigma_Ha_cm2
1	1.36447617308e-15	1.04230160408e-20	1.37772021778e-19	7.80365902546e-14	4.49998075731e-23
2	1.38870787702e-15	2.32908734004e-20	3.06759436532e-19	4.91861025444e-14	2.02579321321e-22
3	1.40298480107e-15	3.72776904592e-20	4.89919340986e-19	3.75476915453e-14	4.88418970088e-22
4	1.41313445461e-15	5.20445367922e-20	6.82898118648e-19	3.10017733427e-14	9.11920109535e-22
5	1.42100377516e-15	6.74198626015e-20	8.83480702145e-19	2.67210893422e-14	1.4800563395e-21
6	1.42742160645e-15	8.32981035657e-20	1.09029267055e-18	2.36661366242e-14	2.1984312757e-21
7	1.43283261708e-15	9.96071041328e-20	1.30238420246e-18	2.13573566537e-14	3.07175118699e-21
8	1.43750348056e-15	1.16294138348e-19	1.51905188851e-18	1.95402746035e-14	4.10408134713e-21
9	1.4416068933e-15	1.33318844263e-19	1.73974883673e-18	1.80662575823e-14	5.2990018739e-21
10	1.44526118183e-15	1.50649245247e-19	1.96403414889e-18	1.68421792418e-14	6.65971000187e-21
20	1.46866203476e-15	3.36609732927e-19	4.34359876855e-18	1.06155478162e-14	2.99146873545e-20
30	1.48145034664e-15	5.38709186424e-19	6.85959076367e-18	8.10369788144e-15	7.18379392599e-20
40	1.48982924359e-15	7.52043614971e-19	9.41678082989e-18	6.69093077679e-15	1.33342851401e-19
50	1.49576833779e-15	9.74129473309e-19	1.19559953021e-17	5.76705587428e-15	2.14731022337e-19
60	1.50015308721e-15	1.20343762171e-18	1.44364641342e-17	5.10772336009e-15	3.15843053355e-19
70	1.50345935888e-15	1.43892224587e-18	1.68298062663e-17	4.60943293035e-15	4.36136116661e-19
80	1.50597302664e-15	1.67981868205e-18	1.91169009344e-17	4.21726277675e-15	5.74740839583e-19
90	1.50787953543e-15	1.92554121669e-18	2.12857743743e-17	3.89913433475e-15	7.30512606568e-19
100	1.50930615993e-15	2.17562552885e-18	2.33299721752e-17	3.6349486912e-15	9.02082021506e-19
200	1.50966049334e-15	4.85590251986e-18	3.74220851224e-17	2.29109137759e-15	3.12015759187e-18
300	1.49914653413e-15	7.76213544205e-18	4.39123492077e-17	1.74897354939e-15	5.29235331078e-18
400	1.48455256852e-15	1.08223913566e-17	4.6988406468e-17	1.44406431738e-15	6.85950032824e-18
500	1.46804545153e-15	1.39999459011e-17	4.8530156227e-17	1.24466981982e-15	7.88782623022e-18
600	1.45059281739e-15	1.72720020889e-17	4.93298785396e-17	1.10236995321e-15	8.55439454674e-18
700	1.43270442998e-15	2.06228387508e-17	4.9743447658e-17	9.94826854461e-16	8.99357123953e-18
800	1.41467607061e-15	2.40408644171e-17	4.99434240904e-17	9.10187072037e-16	9.28980434183e-18
900	1.39668999587e-15	2.75171251861e-17	5.0019412244e-17	8.41527277644e-16	9.49419006386e-18
1000	1.37886276642e-15	3.10444627532e-17	5.00206994307e-17	7.84509640825e-16	9.6378798994e-18
1100	1.36127046616e-15	3.46170010402e-17	4.99757209189e-17	7.36266254763e-16	9.74030474055e-18
1200	1.34396304924e-15	3.82298143071e-17	4.99015408522e-17	6.94818691896e-16	9.81391920896e-18
