# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig3cd.fig
# Right panel: H+ - N2 collision cross sections.
# Columns: energy_eV sigma_10_cm2 sigma_ip_cm2 sigma_La_cm2 sigma_el_cm2 sigma_Ha_cm2
# sigma_10: charge exchange between H+ and N2, Q = -3.4 eV
# sigma_ip: N2 ionization by H+, Q = -19.6 eV
# sigma_La: Lyman-alpha emission, H+ + N2, Q = -10.2 eV
# sigma_el: elastic collision, H+ + N2, Q = 0 eV
# sigma_Ha: Balmer-alpha emission, H+ + N2, Q = -1.9 eV
energy_eV	sigma_10_cm2	sigma_ip_cm2	sigma_La_cm2	sigma_el_cm2	sigma_Ha_cm2
1	3.90479366236e-22	5.28695475907e-19	2.67191546483e-22	7.80365902546e-14	2.75327714894e-25
2	1.7735743686e-21	8.58868292666e-19	8.11554491461e-22	4.91861025444e-14	1.57928501697e-24
3	4.2984984292e-21	1.14074985163e-18	1.55438696455e-21	3.75476915453e-14	4.38752054933e-24
4	8.05565216049e-21	1.39523543699e-18	2.46497569067e-21	3.10017733427e-14	9.05880286928e-24
5	1.31125860998e-20	1.63111454903e-18	3.52485543294e-21	2.67210893422e-14	1.58960260903e-23
6	1.95239657426e-20	1.85315301719e-18	4.72121808927e-21	2.36661366242e-14	2.51668482626e-23
7	2.73360469875e-20	2.0643055232e-18	6.04445646295e-21	2.13573566537e-14	3.71139797227e-23
8	3.6589114058e-20	2.26656548955e-18	7.48699412845e-21	1.95402746035e-14	5.19612312696e-23
9	4.73189675348e-20	2.46135902347e-18	9.04264328154e-21	1.80662575823e-14	6.99174374386e-23
10	5.95579047792e-20	2.64975141268e-18	1.07062175611e-20	1.68421792418e-14	9.11791764865e-23
20	2.70513180187e-19	4.30452337494e-18	3.25184399725e-20	1.06155478162e-14	5.2298105606e-22
30	6.55615394391e-19	5.71725331974e-18	6.22828075442e-20	8.10369788144e-15	1.45278348746e-21
