# Extracted from: D:\Work_Work\Mars\MAVEN\iuvs_data_kp\JGR_Figures\JGR_Figures\Fig3ef.fig
# Right panel: H+ - O collision cross sections.
# Columns: energy_eV sigma_10_cm2 sigma_ip_cm2 sigma_La_cm2 sigma_el_cm2 sigma_Ha_cm2
# sigma_10: charge exchange between H+ and O, Q = -2.4 eV
# sigma_ip: O ionization by H+, Q = -18.5 eV
# sigma_La: Lyman-alpha emission, H+ + O, Q = -10.2 eV
# sigma_el: elastic collision, H+ + O, Q = 0 eV
# sigma_Ha: Balmer-alpha emission, H+ + O, Q = -1.9 eV
energy_eV	sigma_10_cm2	sigma_ip_cm2	sigma_La_cm2	sigma_el_cm2	sigma_Ha_cm2
1	1.25406574559e-15	3.47279555203e-21	1.37772021778e-19	7.80365902546e-14	4.49998075731e-23
2	1.20081423521e-15	7.45412446976e-21	3.06759436532e-19	4.91861025444e-14	2.02579321321e-22
3	1.17071859059e-15	1.16530048233e-20	4.89919340986e-19	3.75476915453e-14	4.88418970088e-22
4	1.14982394866e-15	1.59996949173e-20	6.82898118648e-19	3.10017733427e-14	9.11920109535e-22
5	1.13387396394e-15	2.04596977966e-20	8.83480702145e-19	2.67210893422e-14	1.4800563395e-21
6	1.1210062582e-15	2.50121195329e-20	1.09029267055e-18	2.36661366242e-14	2.1984312757e-21
7	1.11024076167e-15	2.96428528149e-20	1.30238420246e-18	2.13573566537e-14	3.07175118699e-21
8	1.10099886739e-15	3.43416921676e-20	1.51905188851e-18	1.95402746035e-14	4.10408134713e-21
9	1.09291081681e-15	3.91008916328e-20	1.73974883673e-18	1.80662575823e-14	5.2990018739e-21
10	1.08572616836e-15	4.39143598717e-20	1.96403414889e-18	1.68421792418e-14	6.65971000187e-21
20	1.0396228771e-15	9.4254039371e-20	4.34359876855e-18	1.06155478162e-14	2.99146873545e-20
30	1.01356712282e-15	1.47338392624e-19	6.85959076367e-18	8.10369788144e-15	7.18379392599e-20
40	9.95477274178e-16	2.02284903424e-19	9.41678082989e-18	6.69093077679e-15	1.33342851401e-19
50	9.81668336447e-16	2.58656896115e-19	1.19559953021e-17	5.76705587428e-15	2.14731022337e-19
60	9.70527927817e-16	3.16189796767e-19	1.44364641342e-17	5.10772336009e-15	3.15843053355e-19
70	9.61207538247e-16	3.74704906365e-19	1.68298062663e-17	4.60943293035e-15	4.36136116661e-19
80	9.53206230103e-16	4.34072905247e-19	1.91169009344e-17	4.21726277675e-15	5.74740839583e-19
90	9.46203879391e-16	4.94195604531e-19	2.12857743743e-17	3.89913433475e-15	7.30512606568e-19
100	9.39983662579e-16	5.54995761408e-19	2.33299721752e-17	3.6349486912e-15	9.02082021506e-19
200	9.00069048894e-16	1.19035937435e-18	3.74220851224e-17	2.29109137759e-15	3.12015759187e-18
300	8.77510890077e-16	1.85939374312e-18	4.39123492077e-17	1.74897354939e-15	5.29235331078e-18
400	8.61849333162e-16	2.55084344795e-18	4.6988406468e-17	1.44406431738e-15	6.85950032824e-18
500	8.49894038869e-16	3.2591134882e-18	4.8530156227e-17	1.24466981982e-15	7.88782623022e-18
600	8.40249063541e-16	3.98079794683e-18	4.93298785396e-17	1.10236995321e-15	8.55439454674e-18
700	8.32179796924e-16	4.71358521408e-18	4.9743447658e-17	9.94826854461e-16	8.99357123953e-18
800	8.25252544774e-16	5.45579408565e-18	4.99434240904e-17	9.10187072037e-16	9.28980434183e-18
900	8.19190154956e-16	6.2061415358e-18	5.0019412244e-17	8.41527277644e-16	9.49419006386e-18
